T	Rxx_Sept 2024_#2 by Chris
1.999	0.5326739
2.0005	0.5326905
1.9999	0.5326905
1.999	0.5326973
2.0007	0.5326973
2.0001	0.5326924
1.999	0.5326924
2.0008	0.5327011
1.9993	0.5327011
1.9999	0.5326859
2.0009	0.5327042
1.9996	0.5327042
1.9996	0.5327042
2.0008	0.5326943
1.9994	0.5327142
1.9999	0.5327142
2.0008	0.5327028
1.9994	0.5327028
2	0.5326962
2.0007	0.5326962
1.999	0.532693
1.9999	0.532693
2.0009	0.5327101
1.999	0.5327101
2.0005	0.5326916
2.0004	0.5326916
1.9998	0.5326952
2.0006	0.5326895
2.0007	0.5326895
1.9993	0.5327022
2.0005	0.5327022
2.0008	0.5326793
1.9989	0.5326793
2.0004	0.5326987
2.0008	0.5326987
1.9992	0.5327009
2.0003	0.5327009
2.0003	0.5327014
1.999	0.5327014
2.0005	0.5327004
2	0.5327006
1.9989	0.5327006
2.0005	0.532712
2.0007	0.532712
1.9998	0.5327112
2.0005	0.5327112
2.0003	0.5327072
1.9983	0.5327072
2.0004	0.5327001
2.0007	0.5327001
1.9989	0.5326971
1.9998	0.5326971
2.0005	0.5327009
2.0007	0.5327047
1.9996	0.5327047
2.0004	0.5326959
2.0008	0.5326959
1.9987	0.5326965
2.0001	0.5326965
2.0006	0.532708
2.0004	0.532708
1.9984	0.5327061
2.0004	0.5327061
2.0007	0.5327022
2.0003	0.5327022
1.9994	0.532699
2.0005	0.5327006
2.0007	0.5327006
1.9989	0.5326919
2.0001	0.5326919
2.0007	0.5326935
1.9991	0.5326935
2.0001	0.5327006
2.0006	0.5327006
2.0002	0.5327003
1.9988	0.5327003
2.0004	0.5327001
2.0007	0.5327001
1.9987	0.5326973
1.9999	0.5326973
2.0004	0.5327091
2.0008	0.5327077
1.9988	0.5327077
2	0.5327107
2.0006	0.5327107
2.0009	0.5327082
1.9991	0.5327082
2.0001	0.5326919
2.0007	0.5326919
1.9997	0.5327096
1.999	0.5327096
2.0002	0.5327011
2.0006	0.5327011
2.0002	0.5327099
1.9992	0.5327099
2.0004	0.5326959
2.0007	0.5326886
1.9983	0.5326886
2.0001	0.5327066
2.0003	0.5327066
2.0006	0.5327175
1.9996	0.5327175
1.9996	0.5327063
2.0002	0.5327063
2.0006	0.5326899
1.9995	0.5326899
1.9991	0.532675
2.0001	0.532675
2.0004	0.5327123
2.0007	0.5327132
1.999	0.5327132
1.9999	0.5326957
2.0003	0.5326957
2.0006	0.5327072
1.9989	0.5327072
1.9998	0.5326916
2.0005	0.5326916
1.9992	0.5326826
1.9997	0.5326826
2.0004	0.5327142
2.0008	0.5327142
1.9992	0.532694
2.0002	0.532694
2.0007	0.5326984
1.9989	0.5326984
2.0002	0.5327058
2.0006	0.5326998
1.9989	0.5326998
1.9999	0.5326809
2.0005	0.5326809
2.0003	0.5327099
1.9995	0.5327099
2.0003	0.5327085
2.0007	0.5327085
1.9991	0.5326954
2.0002	0.5326954
2.0007	0.5326859
1.9986	0.5327072
2	0.5327072
2.0008	0.5327003
1.9998	0.5327003
1.9999	0.5327126
2.0004	0.5327126
2.0003	0.5326973
1.999	0.5326973
2.0005	0.5327085
2.0008	0.5327085
1.9988	0.5327112
2.0002	0.5327112
2.0005	0.5327014
1.9996	0.5327014
1.999	0.5327033
2.0005	0.532697
2.0009	0.532697
1.9985	0.532703
1.9997	0.532703
2.0004	0.5326962
2.0006	0.5326962
1.9989	0.5326894
1.9996	0.5326894
2.0002	0.5326989
2.0005	0.5326989
1.9987	0.5326951
1.9996	0.5326951
2.0002	0.5327085
2.0004	0.5327085
2.0006	0.5327162
1.999	0.5326949
2.0003	0.5326949
2.0003	0.5326897
1.9992	0.5326897
1.9998	0.5326872
2.0002	0.5326872
2.0004	0.5327184
2.0005	0.5327184
1.9996	0.5327115
2.0001	0.5327115
2.0003	0.5326919
2.0004	0.5326916
2.0004	0.5326916
1.9996	0.5326933
1.9999	0.5326933
2.0001	0.5326985
2.0002	0.5326985
2.0003	0.5327191
2.0004	0.5327191
1.9989	0.532693
1.9998	0.532693
2	0.5327022
2.0001	0.5327022
2.0002	0.5327006
2.0002	0.5327006
2.0002	0.5326924
2.0003	0.5326924
2.0002	0.5326872
1.9989	0.532694
1.9997	0.532694
1.9998	0.5326962
1.9999	0.5326962
2	0.5326933
2	0.5326933
2	0.5326881
2.0002	0.5326881
2.0001	0.5326973
2	0.5326973
2.0002	0.5327115
2.0001	0.5327014
2.0001	0.5327014
2.0001	0.5327093
2.0001	0.5327093
2.0001	0.532694
2	0.532694
2.0001	0.5326919
2.0001	0.5326919
2.0001	0.5326979
2.0001	0.5326979
2.0001	0.5326933
2	0.5326933
2	0.5327044
